"Observer","ScientificName","CommonName","x","dates","county","easting","northing","UTMZone","datum","coordinate_type","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",15,2023-11-11,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",12,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",5,2023-07-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",13,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",17,2023-10-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",16,2023-02-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2023-02-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",6,2023-07-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",19,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",15,2023-06-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",11,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",13,2023-01-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",15,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",19,2023-02-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2023-10-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2023-01-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",6,2023-03-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",10,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",12,2023-09-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",18,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",15,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",22,2023-11-11,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",1,2023-07-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",14,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",2,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys merriami","Merriam's kangaroo rat",10,2023-02-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-01-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-02-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-07-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-02-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-10-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-07-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-03-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",4,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",6,2023-06-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-10-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",8,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",4,2023-10-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-09-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",4,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-07-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-06-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-02-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-10-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-11-11,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-06-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-12-10,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-07-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-11-11,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-09-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",1,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",3,2023-01-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-06-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",5,2023-02-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",7,2023-06-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",4,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",4,2023-03-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",2,2023-12-10,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys ordii","Ord's kangaroo rat",6,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys spectabilis","Banner-tailed kangaroo rat",1,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys spectabilis","Banner-tailed kangaroo rat",1,2023-11-11,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys sp.","Kangaroo rat",2,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Dipodomys sp.","Kangaroo rat",1,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Eumeces obsoletus","Great Plains skink",1,2023-06-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Neotoma albigula","White-throated woodrat",1,2023-07-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Neotoma albigula","White-throated woodrat",1,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Neotoma albigula","White-throated woodrat",1,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys leucogaster","Northern Grasshopper Mouse",1,2023-06-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys leucogaster","Northern Grasshopper Mouse",1,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys leucogaster","Northern Grasshopper Mouse",1,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys leucogaster","Northern Grasshopper Mouse",1,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",15,2023-09-16,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",7,2023-02-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",5,2023-04-23,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",1,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",2,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",2,2023-12-09,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",10,2023-05-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",1,2023-04-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",6,2023-02-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",13,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",4,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",3,2023-03-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",6,2023-07-18,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",7,2023-05-20,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",1,2023-07-19,"Cochise",-109.0830584,31.93907884,"","","DD","","Juvenile","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",1,2023-11-12,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",6,2023-01-22,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",8,2023-06-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",13,2023-10-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",8,2023-10-14,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",15,2023-09-15,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dumandan, Patricia","Onychomys torridus","Southern grasshopper mouse",3,2023-01-21,"Cochise",-109.0830584,31.93907884,"","","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
